GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
podam,uk.co.jemos.podam.exceptions,PodamMockeryException,0,5,0,0,0,2,0,1,0,1
podam,uk.co.jemos.podam.common,EmailStrategy,0,34,0,0,0,7,0,2,0,2
podam,uk.co.jemos.podam.common,AbstractConstructorComparator,0,68,1,19,0,16,1,12,0,3
podam,uk.co.jemos.podam.common,MethodHeavyFirstComparator,0,34,0,4,0,10,0,4,0,2
podam,uk.co.jemos.podam.common,AbstractMethodComparator,0,74,1,23,0,16,1,14,0,3
podam,uk.co.jemos.podam.common,PodamConstants,0,10,0,0,0,3,0,1,0,1
podam,uk.co.jemos.podam.common,ConstructorHeavyFirstComparator,0,35,0,4,0,10,0,4,0,2
podam,uk.co.jemos.podam.common,MethodLightFirstComparator,0,34,0,4,0,10,0,4,0,2
podam,uk.co.jemos.podam.common,BeanValidationStrategy,14,594,3,95,4,142,3,53,0,7
podam,uk.co.jemos.podam.common,ConstructorLightFirstComparator,0,34,0,4,0,10,0,4,0,2
podam,uk.co.jemos.podam.common,Holder,6,10,0,0,3,5,1,3,1,3
podam,uk.co.jemos.podam.common,ManufacturingContext,23,297,2,28,4,69,2,26,0,13
podam,uk.co.jemos.podam.api,MapArguments,0,28,0,0,0,10,0,7,0,7
podam,uk.co.jemos.podam.api,DefaultClassInfoStrategy,0,7,0,0,0,2,0,2,0,2
podam,uk.co.jemos.podam.api,MapKeyOrElementsArguments,0,19,0,0,0,7,0,5,0,5
podam,uk.co.jemos.podam.api,PodamFactoryImpl,222,2167,19,211,52,523,19,132,0,36
podam,uk.co.jemos.podam.api,ClassInfo,15,92,8,6,6,24,7,6,0,6
podam,uk.co.jemos.podam.api,DataProviderStrategy.Order,0,24,0,0,0,3,0,1,0,1
podam,uk.co.jemos.podam.api,AbstractRandomDataProviderStrategy,14,723,4,48,4,180,5,59,1,37
podam,uk.co.jemos.podam.api,PodamUtils,48,593,5,41,13,76,5,31,1,12
podam,uk.co.jemos.podam.api,AbstractMapArguments,0,32,0,0,0,12,0,8,0,8
podam,uk.co.jemos.podam.api,AbstractExternalFactory,0,20,0,0,0,8,0,8,0,8
podam,uk.co.jemos.podam.api,ObjectStrategy,0,5,0,0,0,2,0,2,0,2
podam,uk.co.jemos.podam.api,NullExternalFactory,2,16,0,0,1,5,1,3,1,3
podam,uk.co.jemos.podam.api,AttributeMetadata,25,88,0,0,5,24,1,9,1,9
podam,uk.co.jemos.podam.api,AbstractClassInfoStrategy,7,566,2,90,3,135,2,64,0,20
podam,uk.co.jemos.podam.api,RandomDataProviderStrategyImpl,0,6,0,0,0,3,0,1,0,1
podam,uk.co.jemos.podam.api,ClassAttribute,24,134,9,7,7,33,7,12,0,11
podam,uk.co.jemos.podam.typeManufacturers,IntTypeManufacturerImpl,0,73,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,TypeTypeManufacturerImpl,3,32,1,1,1,7,1,2,0,2
podam,uk.co.jemos.podam.typeManufacturers,CharTypeManufacturerImpl,0,53,0,6,0,16,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,ArrayTypeManufacturerImpl,14,70,0,8,4,23,0,6,0,2
podam,uk.co.jemos.podam.typeManufacturers,BooleanTypeManufacturerImpl,0,26,0,2,0,8,0,4,0,3
podam,uk.co.jemos.podam.typeManufacturers,CollectionTypeManufacturerImpl,0,36,0,6,0,10,0,5,0,2
podam,uk.co.jemos.podam.typeManufacturers,AbstractTypeManufacturer,0,31,0,4,0,8,0,6,0,4
podam,uk.co.jemos.podam.typeManufacturers,DoubleTypeManufacturerImpl,0,73,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,StringTypeManufacturerImpl,0,40,0,4,0,12,0,6,0,4
podam,uk.co.jemos.podam.typeManufacturers,MapTypeManufacturerImpl,0,36,0,6,0,10,0,5,0,2
podam,uk.co.jemos.podam.typeManufacturers,ByteTypeManufacturerImpl,0,75,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,FloatTypeManufacturerImpl,0,77,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,EnumTypeManufacturerImpl,0,35,0,4,0,11,0,4,0,2
podam,uk.co.jemos.podam.typeManufacturers,LongTypeManufacturerImpl,0,72,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,ShortTypeManufacturerImpl,0,75,0,6,0,20,0,7,0,4
podam,uk.co.jemos.podam.typeManufacturers,TypeManufacturerUtil,124,619,38,104,24,155,32,47,1,7
